sid,day,month,year,streams
2HzfRSfCogBSsgW2CckVA2,2,1,2017,710380
4dASQiO1Eoo3RJvt74FtXB,2,1,2017,688244
6F609ICg9Spjrw1epsAnpa,2,1,2017,670611
0B8B8cVRFIG1yznoQe7c9s,2,1,2017,670041
2CPqh63wRVscbceKcPxwvv,2,1,2017,665056
0EPxmvsG1BY5td4aTOkWBF,2,1,2017,664898
2wDjpPW3HZdA9quPPmZAMu,2,1,2017,661546
0YHUITU3w6ws1v8ehT264g,2,1,2017,658647
1OAiWI2oPmglaOiv9fdioU,2,1,2017,657727
2aFiaMXmWsM3Vj72F9ksBl,2,1,2017,650401
0hNduWmlWmEmuwEFcYvRu1,2,1,2017,640308
0sXvAOmXgjR2QUqLK1MltU,2,1,2017,634047
5J1c3M4EldCfNxXwrwt8mT,2,1,2017,630107
7yHEDfrJNd0zWOfXwydNH0,2,1,2017,629672
5uDASfU19gDxSjW8cnCaBp,2,1,2017,625663
6bLopGnirdrilrpdVB6Um1,2,1,2017,624440
7129iqBafaphfc3WPCGC0L,2,1,2017,622987
6fwdbPMwP1zVStm8FybmkO,2,1,2017,621787
0L7loeTIg6akW84aEQZpCT,2,1,2017,619993
1Tt4sE4pXi57mTD1GCzsqm,2,1,2017,607641
1lItf5ZXJc1by9SbPeljFd,2,1,2017,602074
6fxVffaTuwjgEk5h9QyRjy,2,1,2017,595989
1CnPYaKxTVb4LWOtiGOm0m,2,1,2017,587502
2XMTqoHHSH0lvuXrvIEdco,2,1,2017,583636
0kN8xEmgMW9mh7UmDYHlJP,2,1,2017,574420
40UroIGvsMPLPBYwH8rMNA,2,1,2017,572652
4BHzQ9C00ceJxfG16AlNWb,2,1,2017,571475
4ckuS4Nj4FZ7i3Def3Br8W,2,1,2017,566090
4nMlau89VAjmV7agkl7OY3,2,1,2017,565662
4OZEu0Vwq0RB2LAq14v99n,2,1,2017,561884
1FUViuNSldssMIawrOXF2i,2,1,2017,561031
5aAx2yezTd8zXrkmtKl66Z,3,1,2017,3563076
7BKLCZ1jbUBVqRi2FVlTVw,3,1,2017,3175128
5knuzwU65gJK7IF5yJsuaW,3,1,2017,2892451
3NdDpSvN911VPGivFlV5d0,3,1,2017,2710150
4pdPtRcBmOSQDlJ3Fk945m,3,1,2017,2663869
5MFzQMkrl1FOOng9tq6R9r,3,1,2017,2565521
5uCax9HTNlzGybIStD3vDh,3,1,2017,2495021
343YBumqHu19cGoGARUTsd,3,1,2017,2402911
5GXAXm5YOmYT0kL5jHvYBt,3,1,2017,2338067
6b8Be6ljOzmkOmFslEb23P,3,1,2017,2280795
6fujklziTHa8uoM5OQSfIo,3,1,2017,2178247
1xznGGDReH1oQq0xzbwXa3,3,1,2017,2009154
6mICuAdrwEjh6Y6lroV2Kg,3,1,2017,1990513
78rIJddV4X0HkNAInEcYde,3,1,2017,1961999
04DwTuZ2VBdJCCC5TROn7L,3,1,2017,1937665
6DNtNfH8hXkqOX1sjqmI7p,3,1,2017,1919477
4Km5HrUvYTaSUfiSGPJeQR,3,1,2017,1841773
3EmmCZoqpWOTY1g2GBwJoR,3,1,2017,1807536
4pLwZjInHj3SimIyN9SnOz,3,1,2017,1767049
1qOLh0tI7trd1zdDKxYZTe,3,1,2017,1712546
1PSBzsahR2AKwLJgx8ehBj,3,1,2017,1689239
4TZy1wLyHec06pwgFYDh1a,3,1,2017,1653440
2rizacJSyD9S1IQUxUxnsK,3,1,2017,1561672
1vvNmPOiUuyCbgWmtc6yfm,3,1,2017,1493736
6i0V12jOa3mr6uu4WYhUBr,3,1,2017,1478295
4Hf7WnR761jpxPr5D46Bcd,3,1,2017,1467423
0QsvXIfqM0zZoerQfsI9lm,3,1,2017,1422968
0prNGof3XqfTvNDxHonvdK,3,1,2017,1378110
4b4KcovePX8Ke2cLIQTLM0,3,1,2017,1333910
6nxQdXa1uAL0rY72wPZu89,3,1,2017,1308910
1D3ODoXHBLpdxolZRHWV1j,3,1,2017,1284803
08WPvDEsHvTFuB9w8tC2OS,3,1,2017,1277848
6JV2JOEocMgcZxYSZelKcc,3,1,2017,1267550
4Q4jmPHwu0wrJvqrld0FQ6,3,1,2017,1257416
1cG0umU5TKStygKsPFZ9pY,3,1,2017,1236765
7aV2mflaASUmGhCErm7kBO,3,1,2017,1224150
3AEZUABDXNtecAOSC1qTfo,3,1,2017,1191805
1a5Yu5L18qNxVhXx38njON,3,1,2017,1188910
27SdWb2rFzO6GWiYDBTD9j,3,1,2017,1187880
68EMU2RD1ECNeOeJ5qAXCV,3,1,2017,1184008
0JiVRyTJcJnmlwCZ854K4p,3,1,2017,1151007
17Fd6Yb7mSbinKG8LoWfFl,3,1,2017,1093336
5hYTyyh2odQKphUbMqc5gN,3,1,2017,1085103
7FB8l7UA1HKqnuSLjP9qDc,3,1,2017,1058375
6rQSrBHf7HlZjtcMZ4S4bO,3,1,2017,1044810
7yyRTcZmCiyzzJlNzGC9Ol,3,1,2017,1041508
0azC730Exh71aQlOt9Zj3y,3,1,2017,998694
7DM4BPaS7uofFul3ywMe46,3,1,2017,978607
4tCtwWceOPWzenK2HAIJSb,3,1,2017,977577
3QwBODjSEzelZyVjxPOHdq,3,1,2017,960846
0SGkqnVQo9KPytSri1H6cF,3,1,2017,917753
7xHWNBFm6ObGEQPaUxHuKO,3,1,2017,910475
4F7A0DXBrmUAkp32uenhZt,3,1,2017,903776
3AsAuGTaDQzavZZThyYlop,3,1,2017,892451
6HUnnBwYZqcED1eQztxMBN,3,1,2017,882787
6I6NX6tjGsxFAsIfGzY9lJ,3,1,2017,877618
5bZtRlMBU76vHuDOb1GM5u,3,1,2017,860118
2Z8WuEywRWYTKe1NybPQEW,3,1,2017,858126
58zsLZPvfflaiIbNWoA22O,3,1,2017,841802
2BrzlUj1u1CtvaJDGIKpsP,3,1,2017,829868
14WWzenpaEgQZlqPq2nk4v,3,1,2017,810565
11KJSRSgaDxqydKYiD2Jew,3,1,2017,804635
7vRriwrloYVaoAe3a9wJHe,3,1,2017,804617
4vb4mFvYsr2h6enhjJsq9Y,3,1,2017,801876
3CRDbSIZ4r5MsZ0YwxuEkn,3,1,2017,790310
2HzfRSfCogBSsgW2CckVA2,3,1,2017,783013
7gHs73wELdeycvS48JfIos,3,1,2017,768721
3hB5DgAiMAQ4DzYbsMq1IT,3,1,2017,765363
5OOkp4U9P9oL23maHFHL1h,3,1,2017,756176
0B8B8cVRFIG1yznoQe7c9s,3,1,2017,736797
69bp2EbF7Q2rqc5N3ylezZ,3,1,2017,722759
0hNduWmlWmEmuwEFcYvRu1,3,1,2017,722179
2wDjpPW3HZdA9quPPmZAMu,3,1,2017,720940
4dASQiO1Eoo3RJvt74FtXB,3,1,2017,717655
1OAiWI2oPmglaOiv9fdioU,3,1,2017,713104
6F609ICg9Spjrw1epsAnpa,3,1,2017,702649
2CPqh63wRVscbceKcPxwvv,3,1,2017,699588
6fwdbPMwP1zVStm8FybmkO,3,1,2017,688849
0YHUITU3w6ws1v8ehT264g,3,1,2017,687060
5uDASfU19gDxSjW8cnCaBp,3,1,2017,685579
1CnPYaKxTVb4LWOtiGOm0m,3,1,2017,678673
0EPxmvsG1BY5td4aTOkWBF,3,1,2017,667689
1Tt4sE4pXi57mTD1GCzsqm,3,1,2017,667390
7yHEDfrJNd0zWOfXwydNH0,3,1,2017,662335
5J1c3M4EldCfNxXwrwt8mT,3,1,2017,653860
2aFiaMXmWsM3Vj72F9ksBl,3,1,2017,649265
6fxVffaTuwjgEk5h9QyRjy,3,1,2017,646907
0L7loeTIg6akW84aEQZpCT,3,1,2017,646225
0sXvAOmXgjR2QUqLK1MltU,3,1,2017,644289
7129iqBafaphfc3WPCGC0L,3,1,2017,643253
40UroIGvsMPLPBYwH8rMNA,3,1,2017,638643
0kN8xEmgMW9mh7UmDYHlJP,3,1,2017,633681
1FUViuNSldssMIawrOXF2i,3,1,2017,632312
4ckuS4Nj4FZ7i3Def3Br8W,3,1,2017,631385
2XMTqoHHSH0lvuXrvIEdco,3,1,2017,627164
4h90qkbnW1Qq6pBhoPvwko,3,1,2017,621313
4nMlau89VAjmV7agkl7OY3,3,1,2017,619191
6bLopGnirdrilrpdVB6Um1,3,1,2017,619133
04CttTezSnv71USiiG9mIo,3,1,2017,616045
4BHzQ9C00ceJxfG16AlNWb,3,1,2017,598681
5aAx2yezTd8zXrkmtKl66Z,4,1,2017,3619247
7BKLCZ1jbUBVqRi2FVlTVw,4,1,2017,3224594
5knuzwU65gJK7IF5yJsuaW,4,1,2017,2977555
3NdDpSvN911VPGivFlV5d0,4,1,2017,2878313
4pdPtRcBmOSQDlJ3Fk945m,4,1,2017,2680096
5MFzQMkrl1FOOng9tq6R9r,4,1,2017,2599826
5uCax9HTNlzGybIStD3vDh,4,1,2017,2555826
5GXAXm5YOmYT0kL5jHvYBt,4,1,2017,2441812
343YBumqHu19cGoGARUTsd,4,1,2017,2427406
6b8Be6ljOzmkOmFslEb23P,4,1,2017,2315382
6fujklziTHa8uoM5OQSfIo,4,1,2017,2183966
78rIJddV4X0HkNAInEcYde,4,1,2017,2058218
6mICuAdrwEjh6Y6lroV2Kg,4,1,2017,2042231
04DwTuZ2VBdJCCC5TROn7L,4,1,2017,1983348
1xznGGDReH1oQq0xzbwXa3,4,1,2017,1966480
6DNtNfH8hXkqOX1sjqmI7p,4,1,2017,1936122
3EmmCZoqpWOTY1g2GBwJoR,4,1,2017,1888869
4Km5HrUvYTaSUfiSGPJeQR,4,1,2017,1871126
4pLwZjInHj3SimIyN9SnOz,4,1,2017,1850372
1PSBzsahR2AKwLJgx8ehBj,4,1,2017,1765071
1qOLh0tI7trd1zdDKxYZTe,4,1,2017,1713561
4TZy1wLyHec06pwgFYDh1a,4,1,2017,1705070
2rizacJSyD9S1IQUxUxnsK,4,1,2017,1616547
1vvNmPOiUuyCbgWmtc6yfm,4,1,2017,1517745
6i0V12jOa3mr6uu4WYhUBr,4,1,2017,1487556
4Hf7WnR761jpxPr5D46Bcd,4,1,2017,1450273
0prNGof3XqfTvNDxHonvdK,4,1,2017,1418113
4b4KcovePX8Ke2cLIQTLM0,4,1,2017,1399632
0QsvXIfqM0zZoerQfsI9lm,4,1,2017,1399606
6nxQdXa1uAL0rY72wPZu89,4,1,2017,1359778
4Q4jmPHwu0wrJvqrld0FQ6,4,1,2017,1330241
08WPvDEsHvTFuB9w8tC2OS,4,1,2017,1326998
1D3ODoXHBLpdxolZRHWV1j,4,1,2017,1310340
1cG0umU5TKStygKsPFZ9pY,4,1,2017,1308269
1a5Yu5L18qNxVhXx38njON,4,1,2017,1290648
7aV2mflaASUmGhCErm7kBO,4,1,2017,1263287
6JV2JOEocMgcZxYSZelKcc,4,1,2017,1224732
3AEZUABDXNtecAOSC1qTfo,4,1,2017,1208203
68EMU2RD1ECNeOeJ5qAXCV,4,1,2017,1190610
0JiVRyTJcJnmlwCZ854K4p,4,1,2017,1182354
5hYTyyh2odQKphUbMqc5gN,4,1,2017,1175262
27SdWb2rFzO6GWiYDBTD9j,4,1,2017,1161580
17Fd6Yb7mSbinKG8LoWfFl,4,1,2017,1086882
5hTpBe8h35rJ67eAWHQsJx,4,1,2017,1075120
6rQSrBHf7HlZjtcMZ4S4bO,4,1,2017,1045751
7yyRTcZmCiyzzJlNzGC9Ol,4,1,2017,1039292
0azC730Exh71aQlOt9Zj3y,4,1,2017,1000852
7DM4BPaS7uofFul3ywMe46,4,1,2017,991208
3QwBODjSEzelZyVjxPOHdq,4,1,2017,964817
7xHWNBFm6ObGEQPaUxHuKO,4,1,2017,963854
4tCtwWceOPWzenK2HAIJSb,4,1,2017,946118
0SGkqnVQo9KPytSri1H6cF,4,1,2017,931176
6HUnnBwYZqcED1eQztxMBN,4,1,2017,920821
4F7A0DXBrmUAkp32uenhZt,4,1,2017,913750
6I6NX6tjGsxFAsIfGzY9lJ,4,1,2017,904987
3AsAuGTaDQzavZZThyYlop,4,1,2017,897011
58zsLZPvfflaiIbNWoA22O,4,1,2017,875797
5bZtRlMBU76vHuDOb1GM5u,4,1,2017,871058
2BrzlUj1u1CtvaJDGIKpsP,4,1,2017,851869
4vb4mFvYsr2h6enhjJsq9Y,4,1,2017,848498
2Z8WuEywRWYTKe1NybPQEW,4,1,2017,843302
2HzfRSfCogBSsgW2CckVA2,4,1,2017,814912
7vRriwrloYVaoAe3a9wJHe,4,1,2017,806607
11KJSRSgaDxqydKYiD2Jew,4,1,2017,804605
0hNduWmlWmEmuwEFcYvRu1,4,1,2017,782770
14WWzenpaEgQZlqPq2nk4v,4,1,2017,776611
3CRDbSIZ4r5MsZ0YwxuEkn,4,1,2017,767697
7gHs73wELdeycvS48JfIos,4,1,2017,761175
3hB5DgAiMAQ4DzYbsMq1IT,4,1,2017,743150
0B8B8cVRFIG1yznoQe7c9s,4,1,2017,741909
5OOkp4U9P9oL23maHFHL1h,4,1,2017,736005
2wDjpPW3HZdA9quPPmZAMu,4,1,2017,735160
1CnPYaKxTVb4LWOtiGOm0m,4,1,2017,728412
1OAiWI2oPmglaOiv9fdioU,4,1,2017,726016
2CPqh63wRVscbceKcPxwvv,4,1,2017,721729
4dASQiO1Eoo3RJvt74FtXB,4,1,2017,716708
69bp2EbF7Q2rqc5N3ylezZ,4,1,2017,712723
6F609ICg9Spjrw1epsAnpa,4,1,2017,707973
6fwdbPMwP1zVStm8FybmkO,4,1,2017,697269
5uDASfU19gDxSjW8cnCaBp,4,1,2017,697027
0YHUITU3w6ws1v8ehT264g,4,1,2017,690191
6fxVffaTuwjgEk5h9QyRjy,4,1,2017,664703
1Tt4sE4pXi57mTD1GCzsqm,4,1,2017,662679
5J1c3M4EldCfNxXwrwt8mT,4,1,2017,660224
0EPxmvsG1BY5td4aTOkWBF,4,1,2017,656931
40UroIGvsMPLPBYwH8rMNA,4,1,2017,655058
4ckuS4Nj4FZ7i3Def3Br8W,4,1,2017,653082
4h90qkbnW1Qq6pBhoPvwko,4,1,2017,649705
0kN8xEmgMW9mh7UmDYHlJP,4,1,2017,648500
0sXvAOmXgjR2QUqLK1MltU,4,1,2017,646314
1FUViuNSldssMIawrOXF2i,4,1,2017,646227
2XMTqoHHSH0lvuXrvIEdco,4,1,2017,641469
04CttTezSnv71USiiG9mIo,4,1,2017,640563
0L7loeTIg6akW84aEQZpCT,4,1,2017,639419
7yHEDfrJNd0zWOfXwydNH0,4,1,2017,632754
2aFiaMXmWsM3Vj72F9ksBl,4,1,2017,630575
3E2Zh20GDCR9B1EYjfXWyv,4,1,2017,625740
4nMlau89VAjmV7agkl7OY3,4,1,2017,625670
7129iqBafaphfc3WPCGC0L,4,1,2017,625517
6bLopGnirdrilrpdVB6Um1,4,1,2017,611119
5aAx2yezTd8zXrkmtKl66Z,5,1,2017,3579206
7BKLCZ1jbUBVqRi2FVlTVw,5,1,2017,3202540
5knuzwU65gJK7IF5yJsuaW,5,1,2017,2990199
3NdDpSvN911VPGivFlV5d0,5,1,2017,2898180
4pdPtRcBmOSQDlJ3Fk945m,5,1,2017,2677274
5MFzQMkrl1FOOng9tq6R9r,5,1,2017,2573317
5uCax9HTNlzGybIStD3vDh,5,1,2017,2565362
5GXAXm5YOmYT0kL5jHvYBt,5,1,2017,2470422
343YBumqHu19cGoGARUTsd,5,1,2017,2423689
6b8Be6ljOzmkOmFslEb23P,5,1,2017,2295803
6fujklziTHa8uoM5OQSfIo,5,1,2017,2166093
78rIJddV4X0HkNAInEcYde,5,1,2017,2091684
6mICuAdrwEjh6Y6lroV2Kg,5,1,2017,2085940
04DwTuZ2VBdJCCC5TROn7L,5,1,2017,1987716
1xznGGDReH1oQq0xzbwXa3,5,1,2017,1948976
6DNtNfH8hXkqOX1sjqmI7p,5,1,2017,1921364
3EmmCZoqpWOTY1g2GBwJoR,5,1,2017,1910581
4Km5HrUvYTaSUfiSGPJeQR,5,1,2017,1881634
4pLwZjInHj3SimIyN9SnOz,5,1,2017,1849349
1PSBzsahR2AKwLJgx8ehBj,5,1,2017,1763077
4TZy1wLyHec06pwgFYDh1a,5,1,2017,1679826
2rizacJSyD9S1IQUxUxnsK,5,1,2017,1607374
1qOLh0tI7trd1zdDKxYZTe,5,1,2017,1597095
1vvNmPOiUuyCbgWmtc6yfm,5,1,2017,1507960
6i0V12jOa3mr6uu4WYhUBr,5,1,2017,1491085
4Hf7WnR761jpxPr5D46Bcd,5,1,2017,1432104
0prNGof3XqfTvNDxHonvdK,5,1,2017,1411688
1yNyoWWWikbLhwIGWjZuDW,5,1,2017,1406792
0QsvXIfqM0zZoerQfsI9lm,5,1,2017,1380865
4Q4jmPHwu0wrJvqrld0FQ6,5,1,2017,1359200
6nxQdXa1uAL0rY72wPZu89,5,1,2017,1346937
1cG0umU5TKStygKsPFZ9pY,5,1,2017,1344230
